word,groups
«ДЖЕНЕРАЛ,"['44283465', '21946972', '133125527', '52770369', '20368056']"
«КОЛЛ,"['146822877', '90907483', '42448512', '150500858', '45622597', '183358050', '192984652', '193158521', '132074224', '129929507', '160306783', '110418645', '121945293', '193082822', '163767797', '188037560', '193082651', '86106685', '182342465', '543755']"
«КОЛЛ»,"['146822877', '90907483', '42448512', '150500858', '45622597', '183358050', '192984652', '193158521', '132074224', '129929507', '160306783', '110418645', '121945293', '193082822', '163767797', '188037560', '193082651', '86106685', '182342465', '543755']"
«ЛОНГ»,"['160189295', '148816134', '167367178', '45733941', '19947779', '192375335', '31240219', '39822960', '22516443', '29411477', '94695077', '193373963', '129356262', '18421534', '49537245', '23337357', '33469766', '61951703', '192190115', '77081271']"
«МЕДВЕДЕЙ»,['91197755']
«ПУТ»,"['195168583', '52219782', '51788541']"
АБДОМИНОПЛАСТИКА,"['153173065', '121403770']"
АБРАЗИВ,"['127536922', '93615943']"
АБСТРАКТНЫЙ,['153728878']
АБУЗ,"['178067521', '93409273']"
АВАТАР,"['192274677', '99897090', '170290992', '134199844', '8084718']"
АВСТРАЛИЙСКИЙ,['93464081']
АВТО,"['121893616', '98223110', '142285813', '383476', '21579301', '160210006', '52387910']"
АВТОБУС,['54654544']
АВТОГРЕЙДЕР,['49017582']
АВТОКАР,"['150953105', '161097983', '193058621', '78663600', '27058509']"
АВТОКАРА,"['150953105', '161097983', '193058621', '78663600', '27058509']"
АВТОПАТИ,['28751795']
АВТОРАН,['78855616']
АВТОСТОП,"['195649249', '185783532', '151809799']"
АГЕНСТВО,['189782466']
АГЕНТ,['110177425']
АГЕНТСТВА,"['104098097', '35414373', '98541920', '166097679', '171868288', '98795600', '15380384', '168105480', '41862358', '108903216', '27770677']"
АГЕНТСТВО,"['104098097', '35414373', '98541920', '166097679', '171868288', '98795600', '15380384', '168105480', '41862358', '108903216', '27770677']"
АГНОСТИК,['29889218']
АГРЕССИВ,"['44691882', '192688195', '90810520', '192329685', '13627235', '121172019', '9742', '170300868', '27765766']"
АГРЕССИВНЫЙ,"['179165346', '171673999', '67975048', '162541031']"
АГРЕССИЯ,"['44691882', '192688195', '90810520', '192329685', '13627235', '121172019', '9742', '170300868', '27765766']"
АГРО,"['52387910', '50529842']"
АГРОБИЗНЕС,['50529842']
АДАЛТ,['21587230']
АДАМСИТ,['45635915']
АДАПТЕР,"['24146830', '123318713']"
АДВАНС,['174025561']
АДВЕНЧУР,"['5236776', '27342439']"
АДВЕНЧУРА,"['5236776', '27342439']"
АДГЕЗИВ,"['141312866', '195069821']"
АДГЕЗИЯ,"['141312866', '195069821']"
АДДИКТОЛОГ,"['112359713', '142385581']"
АДДИКТОЛОГИЯ,"['112359713', '142385581']"
АДДИКЦИЯ,['6589976']
